NSX, Description, New Price, Discount percent, Old Price, 
Enchanteur, Sữa Tắm Enchanteur Nước Hoa Dưỡng Da Charming 650g, 145.000 ₫, 22%, 187.000 ₫, 
St.Ives, Sữa Dưỡng Thể St.Ives Vitamin E & Bơ Dưỡng Ẩm Da 621ml, 171.000 ₫, 11%, 192.000 ₫, 
Old Spice, Gel Tắm Old Spice Hương Timber Sảng Khoái Và Tự Tin 473ml, 113.000 ₫, 30%, 161.000 ₫, 
Purité By Prôvence, Sữa Tắm Purité Sáng Mịn Da Hương Hoa Anh Đào 250ml, 68.000 ₫, 12%, 77.000 ₫, 
Derladie, Xà Phòng Derladie Làm Sạch Và Giảm Mụn Cơ Thể 50g, 99.000 ₫, 17%, 120.000 ₫, 
Lactacyd, Sữa Tắm Gội Trẻ Em Lactacyd Milky Bảo Vệ Da & Tóc Bé 500ml, 160.000 ₫, 3%, 165.000 ₫, 
Vaseline, Combo Vaseline Sữa Dưỡng Thể Gluta-Hya Nâng Tông Tức Thì 300mlx2, 285.000 ₫, 27%, 390.000 ₫, 
Cocoon, Gel Tắm Bí Đao Cocoon Làm Giảm Mụn Lưng 310ml, 220.000 ₫, 10%, 245.000 ₫, 
A-Derma, Gel Rửa Mặt & Tắm Gội A-Derma Dịu Nhẹ Cho Da 200ml, 346.000 ₫, 15%, 408.000 ₫, 
La Roche-Posay, Sữa Tắm & Rửa Mặt La Roche-Posay Cho Da Khô Nhạy Cảm 200ml, 397.000 ₫, 18%, 485.000 ₫, 
Nivea, Lăn Khử Mùi Nivea Serum Sáng Mịn Hương Hoa Sakura 40ml, 97.000 ₫, 10%, 108.000 ₫, 
White Conc, Sữa Tắm Sáng Da WHITE CONC 360ml, 213.000 ₫, 39%, 350.000 ₫, 
