NSX, Description, New Price, Discount percent, Old Price, 
LEMONADE, Phấn Nước Đơn Lemonade A01 Light (Không Face Filler) 15g, 245.000 ₫, 26%, 333.000 ₫, 
australis, Phấn Phủ Australis Kiềm Dầu 2in1 #Light Beige 12g, 239.000 ₫, 20%, 298.000 ₫, 
B.O.M, Kẻ Mắt Nước B.O.M Lâu Trôi Màu Đen 01 Wonder Black 0.5g, 238.000 ₫, 20%, 298.000 ₫, 
3CE, Son Thỏi 3CE Mịn Lì 222 Step And Go - Đỏ Đất 3.5g, 304.000 ₫, 20%, 380.000 ₫, 
3CE, Son Thỏi Lì 3CE Vỏ Trong Suốt Giving Pleasure - Cam Đỏ 3.5g, 304.000 ₫, 20%, 380.000 ₫, 
australis, Phấn Phủ Australis Kiềm Dầu 2in1 #Natural 12g, 239.000 ₫, 20%, 298.000 ₫, 
Black Rouge, Son Kem Lì Black Rouge A51 Rad Brick - Gạch Cổ Điển 4.5ml, 169.000 ₫, 43%, 298.000 ₫, 
L'Oreal, Nước Tẩy Trang Mắt Môi L'Oréal Dịu Nhẹ Cho Da 125ml, 164.000 ₫, 18%, 199.000 ₫, 
Vaseline, Son Dưỡng Có Màu Vaseline Hồng Ngọt Ngào 3g, 88.000 ₫, 1%, 89.000 ₫, 
3CE, Son Kem Lì 3CE Mịn Nhẹ Peach Tease - Cam San Hô 4g, 272.000 ₫, 20%, 340.000 ₫, 
Maybelline, Son Bóng Maybelline 10 Lippy - Nâu Đỏ Ấm 4.2ml, 229.000 ₫, 23%, 298.000 ₫, 
LipIce, Son Dưỡng LipIce Red Hương Hoa Anh Đào, 61.000 ₫, 22%, 78.000 ₫, 
Maybelline, Kem Che Khuyết Điểm Maybelline Mịn Lì 25 Medium 6.8ml, 135.000 ₫, 15%, 158.000 ₫, 
B.O.M, Phấn Nước B.O.M Che Khuyết Điểm #21 Tông Trắng Sáng 15g, 502.000 ₫, 20%, 629.000 ₫, 
